order_date,region,product_category,customer_id,units,unit_price,discount,satisfaction,revenue,churned
2024-09-27,East,Clothing,CUST-7777,12.0,58.07,0.07,3.0,648.06,1
2025-03-31,East,Clothing,CUST-8570,13.0,120.09,0.32,5.0,1061.6,0
2025-04-06,West,Home,CUST-8956,,75.39,0.28,5.0,434.25,1
2024-09-08,North,Electronics,CUST-6124,,,0.09,3.0,374.45,0
2024-10-22,West,Electronics,CUST-6585,1.0,,0.03,5.0,178.36,0
2024-12-03,,Clothing,CUST-5777,15.0,31.68,0.27,1.0,346.9,1
2024-02-22,North,Sports,CUST-4900,8.0,190.3,0.26,1.0,1126.58,0
2024-08-04,North,Clothing,CUST-7677,11.0,91.97,0.11,3.0,900.39,0
2024-07-06,West,Electronics,CUST-7981,12.0,41.1,0.38,4.0,305.78,0
2025-01-14,East,Home,CUST-7376,12.0,110.67,0.06,2.0,1248.36,1
2025-05-07,North,Home,CUST-1523,4.0,175.22,0.17,4.0,581.73,0
2024-02-10,West,Electronics,CUST-3393,16.0,147.78,0.38,5.0,1465.98,0
2024-06-05,East,Clothing,CUST-3593,4.0,162.28,0.17,2.0,538.77,0
2024-01-15,West,Clothing,CUST-8240,5.0,133.46,0.26,3.0,493.8,0
2024-03-05,South,Clothing,CUST-7937,5.0,139.99,0.16,3.0,587.96,0
2025-06-04,North,Clothing,CUST-7190,8.0,170.59,0.11,2.0,1214.6,0
2024-12-09,South,Electronics,CUST-6240,10.0,53.69,0.39,1.0,327.51,1
2024-05-08,East,Electronics,CUST-7493,17.0,100.44,0.16,2.0,1434.28,1
2025-04-16,South,Electronics,CUST-3878,9.0,48.14,0.36,5.0,277.29,0
2024-03-03,South,Books,CUST-5143,19.0,197.6,0.09,1.0,3416.5,0
2024-05-18,East,Sports,CUST-4644,14.0,189.09,0.09,3.0,2409.01,1
2025-05-13,West,Clothing,CUST-5432,8.0,12.69,0.01,2.0,100.5,0
2025-01-26,South,Books,CUST-2276,9.0,142.59,0.26,4.0,949.65,1
2025-02-22,West,Home,CUST-6811,,185.42,0.15,4.0,1733.68,0
2024-10-15,South,Clothing,CUST-1302,1.0,40.21,0.35,5.0,26.14,1
2025-01-13,West,Clothing,CUST-1638,14.0,115.75,0.19,4.0,1312.6,0
2025-05-04,East,Electronics,CUST-1055,5.0,183.52,0.39,2.0,559.74,0
2024-08-18,South,Electronics,CUST-9717,14.0,11.62,0.07,2.0,151.29,1
2024-02-10,East,Home,CUST-9150,4.0,141.0,0.35,4.0,366.6,0
2024-01-28,South,Clothing,CUST-3125,,62.98,0.31,2.0,43.46,0
2024-05-14,East,Electronics,CUST-1364,19.0,185.26,0.31,5.0,2428.76,0
2024-07-19,East,Sports,CUST-7809,8.0,194.36,0.34,1.0,1026.22,1
2024-02-02,South,Home,CUST-5621,15.0,189.13,0.3,5.0,1985.86,0
2024-02-17,South,Electronics,CUST-6126,15.0,97.47,0.25,5.0,1096.54,1
2025-05-17,South,Sports,CUST-6122,9.0,,0.05,2.0,1480.0,0
,North,Books,CUST-2646,9.0,169.69,0.01,1.0,1511.94,0
2024-04-08,West,Books,CUST-1918,10.0,67.22,0.37,2.0,423.49,1
2025-04-06,North,Electronics,CUST-3797,9.0,166.64,0.25,3.0,1124.82,0
2024-01-05,North,Home,CUST-7506,3.0,,0.32,2.0,24.93,1
2024-08-05,East,Clothing,CUST-6870,11.0,,0.19,2.0,1080.52,0
2025-05-17,South,Home,CUST-2531,6.0,49.85,0.05,2.0,284.14,1
2025-02-01,West,Books,CUST-9172,2.0,28.51,0.05,1.0,54.17,0
2025-01-27,East,Home,CUST-4345,7.0,20.01,0.27,2.0,102.25,1
2024-07-25,North,Sports,CUST-8673,18.0,140.78,0.17,1.0,2103.25,0
2024-01-15,South,Sports,CUST-7949,2.0,71.28,0.08,4.0,131.16,0
2025-04-05,East,Sports,CUST-7882,17.0,146.33,0.2,3.0,1990.09,0
2024-08-28,South,Clothing,CUST-2906,11.0,17.74,0.03,1.0,189.29,1
2024-04-05,East,Electronics,CUST-4086,12.0,66.48,0.23,4.0,614.28,1
2025-04-29,South,Clothing,CUST-9152,19.0,110.2,0.11,1.0,1863.48,1
2025-02-10,North,Sports,CUST-6750,7.0,,0.32,1.0,757.74,1
2024-08-18,West,Electronics,CUST-9905,6.0,67.16,0.12,3.0,354.6,1
2024-06-19,North,Clothing,CUST-2062,1.0,127.05,0.18,5.0,104.18,0
2024-02-05,West,Electronics,CUST-2976,17.0,177.77,0.0,5.0,3022.09,0
2025-06-08,South,Clothing,CUST-2296,11.0,125.09,0.03,1.0,1334.71,1
2024-06-08,East,Sports,CUST-7229,18.0,50.43,0.16,2.0,762.5,1
2024-08-30,North,Sports,CUST-8641,17.0,9.76,0.19,4.0,134.4,0
2024-03-26,West,Electronics,CUST-1125,7.0,174.67,0.24,2.0,929.24,0
2024-01-28,North,Sports,CUST-5632,17.0,9.15,0.12,2.0,136.88,0
2024-12-05,West,Clothing,CUST-7288,9.0,175.57,0.28,1.0,1137.69,0
2024-11-26,North,Clothing,CUST-4596,17.0,108.14,0.34,1.0,1213.33,1
2025-05-20,West,Home,CUST-7168,8.0,188.12,0.31,1.0,1038.42,0
2024-12-13,West,Clothing,CUST-8561,17.0,160.76,0.02,1.0,2678.26,0
2025-04-17,South,Clothing,CUST-9258,7.0,199.6,0.19,5.0,1131.73,0
2024-08-18,,Home,CUST-1232,1.0,73.39,0.04,1.0,70.45,0
2024-07-08,South,Electronics,CUST-7371,13.0,154.6,0.1,5.0,1808.82,1
2024-08-12,West,Electronics,CUST-5206,19.0,83.38,0.39,5.0,966.37,0
2025-01-19,East,Clothing,CUST-8943,19.0,98.58,0.06,1.0,1760.64,1
2025-01-11,East,Electronics,CUST-7891,17.0,127.36,0.2,3.0,1732.1,0
2024-10-09,East,Clothing,CUST-7738,13.0,175.37,0.25,4.0,1709.86,0
2024-09-15,West,Clothing,CUST-3472,16.0,196.9,0.28,2.0,2268.29,0
2024-12-24,South,Home,CUST-3739,8.0,154.81,0.22,5.0,966.01,0
2025-03-31,South,Home,CUST-6401,19.0,86.46,0.0,4.0,1642.74,0
2025-02-14,West,Sports,CUST-2761,18.0,87.16,0.13,3.0,1364.93,1
2024-11-13,East,Home,CUST-1876,1.0,148.83,0.21,2.0,117.58,1
2024-08-12,East,Home,CUST-4812,14.0,51.56,0.04,2.0,692.97,1
2024-08-21,South,Electronics,CUST-2460,19.0,26.54,0.14,5.0,433.66,0
2025-01-08,East,Clothing,CUST-2733,15.0,74.15,0.01,1.0,1101.13,1
2025-04-16,North,Clothing,CUST-2605,,61.01,0.03,3.0,1065.23,0
2024-08-20,South,Electronics,CUST-6622,2.0,62.78,0.16,5.0,105.47,0
2024-04-22,,Clothing,CUST-7767,17.0,50.55,0.05,3.0,816.38,0
2025-05-11,South,Clothing,CUST-7986,18.0,13.21,0.23,1.0,183.09,1
2025-03-17,North,Sports,CUST-4517,6.0,8.49,0.28,1.0,36.68,0
2024-09-24,South,Books,CUST-4735,19.0,197.61,0.32,5.0,2553.12,0
2025-05-24,South,Clothing,CUST-9434,4.0,88.42,0.08,1.0,325.39,1
2025-01-20,South,Electronics,CUST-3590,,79.94,0.07,4.0,74.34,0
2025-01-21,South,Electronics,CUST-2063,8.0,137.53,0.04,2.0,1056.23,0
2024-04-22,North,Sports,CUST-5324,7.0,47.56,0.25,5.0,249.69,1
2024-03-21,West,Sports,CUST-6342,3.0,190.24,0.28,3.0,410.92,0
2024-04-22,South,Electronics,CUST-1005,10.0,158.34,0.01,4.0,1567.57,0
2024-01-02,South,Home,CUST-8489,10.0,22.44,0.37,5.0,141.37,1
2024-08-07,East,Electronics,CUST-9659,19.0,86.43,0.02,1.0,1609.33,1
2024-08-12,,Electronics,CUST-9195,14.0,176.43,0.22,1.0,1926.62,1
2025-01-19,East,Electronics,CUST-6966,2.0,189.22,0.28,1.0,272.48,1
2025-02-06,West,Electronics,CUST-9837,1.0,96.14,0.35,1.0,62.49,1
2024-05-09,North,Books,CUST-1117,18.0,124.62,0.29,3.0,1592.64,0
2024-02-22,North,Home,CUST-3551,7.0,37.57,0.32,4.0,178.83,0
2025-02-19,West,Clothing,CUST-6560,8.0,198.28,0.14,2.0,1364.17,0
2024-09-03,North,Home,CUST-5289,1.0,50.18,0.33,3.0,33.62,1
2025-03-14,West,Sports,CUST-1846,,188.83,0.03,3.0,549.5,1
2024-07-21,West,Books,CUST-7316,8.0,131.68,0.36,2.0,674.2,1
2024-07-02,West,Electronics,CUST-7469,15.0,123.51,0.22,2.0,1445.07,1
2024-05-02,North,Clothing,CUST-9915,,104.97,0.33,1.0,351.65,1
,East,Electronics,CUST-1224,3.0,49.98,0.18,3.0,122.95,0
2024-10-20,West,Electronics,CUST-5208,19.0,39.42,0.26,5.0,554.25,1
2024-10-06,South,Electronics,CUST-7283,1.0,47.99,0.21,2.0,37.91,0
2024-07-16,North,Home,CUST-3048,15.0,41.36,0.29,2.0,440.48,0
2025-05-25,West,Clothing,CUST-7233,8.0,157.02,0.03,4.0,1218.48,1
2024-05-23,West,Electronics,CUST-2828,2.0,73.27,0.02,5.0,143.61,1
2024-07-19,South,Electronics,CUST-2917,3.0,16.28,0.1,5.0,43.96,0
2024-05-03,East,Clothing,CUST-5234,14.0,193.98,0.06,2.0,2552.78,0
2024-07-05,East,Electronics,CUST-7988,14.0,177.34,0.35,1.0,1613.79,1
2024-11-21,East,Clothing,CUST-3026,11.0,185.91,0.09,4.0,1860.96,0
2025-04-08,West,Electronics,CUST-4744,16.0,199.01,0.39,5.0,1942.34,1
2024-12-14,West,Electronics,CUST-1009,4.0,38.91,0.13,2.0,135.41,0
2025-02-06,West,Clothing,CUST-1260,5.0,82.27,0.07,5.0,382.56,0
2024-12-11,North,Home,CUST-7038,14.0,152.86,0.32,4.0,1455.23,1
2025-05-25,South,Electronics,CUST-3219,16.0,140.72,0.26,4.0,1666.12,1
2024-05-26,West,Electronics,CUST-8041,18.0,,0.2,3.0,504.14,1
2024-05-27,South,Electronics,CUST-3060,7.0,164.09,0.22,2.0,895.93,1
2025-05-03,South,Sports,CUST-6287,10.0,48.77,0.29,4.0,346.27,1
2024-12-03,East,Clothing,CUST-2619,7.0,48.64,0.09,3.0,309.84,0
2025-04-17,North,Clothing,CUST-9512,1.0,109.71,0.4,3.0,65.83,1
2024-05-30,West,Sports,CUST-2342,19.0,120.62,0.39,5.0,1397.99,0
2025-02-18,East,Electronics,CUST-3832,16.0,118.12,0.26,5.0,1398.54,0
2024-10-24,East,Sports,CUST-3824,19.0,22.84,0.08,3.0,399.24,0
2024-09-19,West,Clothing,CUST-2994,4.0,176.1,0.27,5.0,514.21,0
2024-05-23,South,Electronics,CUST-4490,18.0,56.79,0.03,4.0,991.55,0
2024-12-11,East,Clothing,CUST-8984,2.0,30.26,0.01,1.0,59.91,0
2024-01-02,South,Home,CUST-2604,1.0,178.31,0.1,4.0,160.48,0
2024-10-30,North,Clothing,CUST-1235,15.0,191.35,0.19,3.0,2324.9,0
2024-09-10,South,Books,CUST-2908,5.0,,0.35,3.0,562.61,1
2025-03-28,North,Clothing,CUST-9567,11.0,162.86,0.29,4.0,1271.94,0
2024-02-06,South,Home,CUST-4530,,132.77,0.3,5.0,929.39,0
2024-06-08,East,Clothing,CUST-6256,2.0,112.42,0.17,5.0,186.62,0
2024-01-09,East,Sports,CUST-3635,3.0,21.96,0.14,3.0,56.66,1
2024-08-20,North,Clothing,CUST-9162,12.0,84.65,0.15,2.0,863.43,1
2024-04-08,West,Electronics,CUST-3560,5.0,77.67,0.4,5.0,233.01,0
2024-07-26,North,Electronics,CUST-6415,,55.65,0.02,4.0,272.68,0
2024-05-10,North,Electronics,CUST-4391,6.0,146.07,0.35,5.0,569.67,0
2025-02-07,South,Electronics,CUST-6951,9.0,101.7,0.23,4.0,704.78,1
2024-05-31,South,Electronics,CUST-6468,2.0,20.8,0.18,3.0,34.11,0
2024-02-23,North,Home,CUST-9007,12.0,47.94,0.29,5.0,408.45,0
2024-04-29,East,Clothing,CUST-7413,3.0,138.24,0.19,4.0,335.92,1
2025-02-23,South,Home,CUST-7941,12.0,19.85,0.35,3.0,154.83,1
2025-02-25,West,Sports,CUST-5820,17.0,170.99,0.36,2.0,1860.37,0
2024-04-13,South,Clothing,CUST-3898,10.0,101.55,0.17,4.0,842.86,1
2024-09-10,,Home,CUST-8546,14.0,98.71,0.11,2.0,1229.93,0
2024-08-14,West,Home,CUST-1077,17.0,120.52,0.24,2.0,1557.12,1
2024-04-21,North,Clothing,CUST-8577,18.0,165.81,0.36,1.0,1910.13,1
2025-05-24,West,Electronics,CUST-5227,,72.82,0.08,5.0,1272.89,0
2025-04-17,North,Electronics,CUST-1600,17.0,137.21,0.25,4.0,1749.43,0
2024-04-08,North,Electronics,CUST-2065,14.0,115.32,0.25,2.0,1210.86,0
2024-06-01,North,Electronics,CUST-3136,9.0,57.07,0.29,1.0,364.68,0
2024-12-03,West,Electronics,CUST-7943,8.0,176.33,0.05,3.0,1340.11,0
2024-06-11,North,Sports,CUST-8804,2.0,160.5,0.29,4.0,227.91,1
2024-06-09,,Home,CUST-7565,13.0,133.4,0.36,2.0,1109.89,1
2025-02-01,West,Electronics,CUST-6984,,170.86,0.07,5.0,1112.3,0
2024-10-03,East,Electronics,CUST-6142,9.0,174.12,0.1,1.0,1410.37,0
